Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
ziiddaa,noun,"backbone%(syn) [pisaapisuwa, zokko meqettaa.]",,
ziimettaa,noun,"smart, sting, sharp pain%(syn) [xossaa, cadaa, zeelumettaa, 
biz""ettaa, pinccaamettaa.]",,
ziimmiya,adjective,"stinging; painful%(syn) [xoggiya, biz''iya, pinccaama, 
caddiya, zeelummiya.]
ziiriya oykkiis%1. intransitive verb%",,
ziimmiya,adjective,"march, line up%(syn) [salppiis.]",,
ziittaa,noun,"lorry, large goods vehicle%(syn) [makiinaa, kaamiya.]",,
ziizziya,noun,"nape, back of neck%(syn) [qooriya.]
zil''ettiis%1. intransitive verb%",,
ziizziya,noun,"regret%(syn) [gurum''ettiis, hala giis, 
seelliis, michchiis.]",,
zililiina,adjective,"weak; feeble; weary%(syn) [azalla, tushula, gililiina.]",,
zillaytti,adverb,last year%(syn) [aadhdhida laytti.],,
zimadduwa,noun,"ant%(syn) [qaacuwa.]
ziqqiis ziqqattiis%1. intransitive verb%",,
zimadduwa,noun,be lowered%,,
zimadduwa,noun,be cheap,,
miizzaa,noun,ant (a small ant)%(syn) [phirzziya.],,
zokkettaa,noun,"theft; pilferage%(syn) [londdettaa, wuussaa.]
zokko meqettaa%1. noun%",,
zokkettaa,noun,"backbone%(syn) [ziiddaa, pisaapisuwa.]
zokkuwa zaariis%1. intransitive verb%",,
zokkettaa,noun,"be cruel, be ruthless, be brutal%(syn) 
[paliis, iitiis, biittaa goggiis, maracciya worddotiis, wozanaa shuchchattiis, 
qayyiis.]
zokkuwa zaaruwa%1. noun%",,
zokkettaa,noun,"cruelty; ruthlessness; brutality; inhumanity%(syn) 
[palaa, meqettaa iitatettaa, meqettaa xayuwa, agaagaa iitatettaa, iitaa, 
maracciya iitatettaa, maracciya wordduwa.]",,
zolggettaa,noun,"toss, head jerk%(syn) [zohettaa.]",,
zolonggo,adjective,"long; tall%(syn) [loophphaase, adussa, lookiina, 
lakkeessa, lakakka.]
zolppattiis (zoppattiis)%1. intransitive verb%",,
zolonggo,adjective,"be weak, be feeble%(syn) 
[shuggiis, azalliis.]
zom""attiis%1. intransitive verb%",,
zolonggo,adjective,be sluggish%(syn) [nappattiis.],,
zoohaa,noun,"musical instrument, musical instrument made of bamboo and horn%
(syn) [dinkkíya.]",,
zoonuwa,noun,"gate; door; entrance%(syn) [penggiya, detten''uwa, xettaa, 
geliyosaa, gaculliya.]",,
zooran,adverb,sparsely%(syn) [laallaman.],,
zorqqoqqa,adjective,gracelessly tall%(syn) [shaqaqqa.],,
zozzattiis,noun,"be opinionated, be dogmatic%(syn) [jinjjillattiis, 
binjjillattiis, qinjjillattiis.]",,
zubbiya,noun,arrow%,,
zubbiya,noun,gossip,,
zumbbullaa,noun,"hill; uphill; upwards%(syn) [pudettaa.]
zun''iya%1. noun%",,
zumbbullaa,noun,"termite hill, hillock%(syn) [duunniya.]",,
zuppiya,noun,"hand in hand, side by side, a group of men or animals with 
common interest usually walking together%(syn) [tuujjumaa.]",,
zuubbarettaa,noun,"being bent%(syn) [geellattiyogaa, yumbburettaa.]",,
zuuqettaa,noun,kneading; massage%,,
zuuqettaa,noun,straightening; uncurling,,
zuussatettaa,noun,"kinship, association, partisan (not so close)%(syn) 
[dabbotettaa, yaratettaa.]",,
laaqqaa,noun,"lamb%(syn) [dorssa maraa, gariya.]",,
laammiyogaa,noun,adultery%,,
laammiyogaa,noun,fornication,,
laamuwa,noun,change; exchange; transformation%,,
laamuwa,noun,adultery,,
lichchakkuwa,noun,small bread (baked in hot ashes)%(syn) [komppuwa.],,
a,adjective,"fat; thick; chubby; obese; flabby%(syn) [modhdho, tuuna, 
tuuxa, tembbereera, tembbereqa, yilttitta, tolsso.]
kushe kessenna%1. adjective%",,
a,adjective,"no account; invalid; ruined; futile; pointless; 
trivial; petty%",,
a,adjective,"insufficient (business term)
hagaa gishshaassi%1. connective%",,
a,adjective,"so, therefore, hence, thus, so that%(syn) 
[hagaa gishshawu, hagaa gishshatawu.]
hagaa gishshatawu%1. connective%",,
a,adjective,"so, therefore, hence, thus, so that%(syn) 
[hagaa gishshawu, hagaa gishshaassi.]
hagaa gishshawu%1. connective%",,
a,adjective,"so, therefore, hence, thus, so that%(syn) [hagaa 
gishshaassi, hagaa gishshatawu.]
hagaappe guyyiyan%1. adverb%",,
a,adjective,"afterward; hereafter%(syn) [hagaappe sinttanawu.]
hagaappe sinttanawu%1. adverb%",,
a,adjective,"afterward; hereafter%(syn) [hagaappe guyyiyan.]
haray attin%1. adverb%",,
a,adjective,"even%(syn) [usa, haray atto.]
hariya henttuwa%1. noun%",,
a,adjective,"lash; hit; stroke; blow; whip; beat; fistfight%(syn) 
[buhaa, waraa, shochchaa, udulettaa, kanaa mizuwa, biittaa mizuwa, biittaa 
conchchuwa.]
hayqqiiddi immiyo qaalaa%1. noun%",,
a,adjective,"will%(syn) [azazuwa, bazettaa.]
huuphe zawuriya%1. noun%",,
a,adjective,"headache%(syn) [huuphe qoxuwa.]
huuphiya giigissiyagaa%1. noun%",,
a,adjective,"barber, hair dresser%(syn) [huuphiya 
qanxxiyagaa.]
huuphiya kiyiis%1. transitive verb%",,
a,adjective,"intoxicate%(syn) [mattoyiis.]
huuphiya qoxuwa%1. noun%",,
a,adjective,"headache%(syn) [huuphiya zawuriya.]
huuphiya zawuriya%1. noun%",,
a,adjective,headache (stronger)%(syn) [huuphiya qoxuwa.],,
asa,noun,European%,A awrooppaa asa.,She is a European.
Bonchchettiya,noun,Excellency%,Bonchchettiya Kawo Amaadoo!,"Your 
Excellency King Amado!
Bullee Yambbullo%1. noun%"
Bonchchettiya,noun,ceremonial song%,"Bullee Yambbullo giyogee gimuwa 
wogaa yettaa.","'Bule Yambule' is a cultural song sung during the 'gimua' 
ceremony.
Chayna asa%1. noun%"
Bonchchettiya,noun,Chinese %,A chayna asa.,"She is Chinese.
Kafi Gomaran eqqiis%1. intransitive verb%"
Bonchchettiya,noun,"disappear; destroy; perish%(syn) 
[xayiis, tim''i giis, bayiis, kolli bo''an eqqiis, titifiyan eqqiis, haakkiis, 
xuluqee xunqqiis, miimminttee mittiis, gooni gamman eqqiis, kichchiis, hurttu 
giis]%",,
Bonchchettiya,noun,"go far away
Maarota Layttaa%1. noun%",,
Bonchchettiya,noun,A.D.%,"Ha maxaafaa nuuni 1998 Maarota Layttaappe (M.L)
doommidi giigissida.",We started preparing this book in 2005 A.D.
Masqqalaa,noun,"September, the first month of the year%(syn) [Gifaataa.]%",,
Masqqalaa,noun,anniversary,,
O,adjective,whose%,Hagee O keettee?,Whose house is this?
Qeeraa,noun,"Saturday, the day of the week after Friday and before Sunday 
Hachchi sa'ay%","Hamuusa gidikko, wonttifen Qeeraa.","If today is Thursday, then 
the day after tomorrow is Saturday.
Qeeran Woggan%1. noun%"
Qeeraa,noun,weekend%,Qeeran Woggan maayuwa meecceettees.,"We wash 
clothes on the weekends."
Saynno,noun,"Monday, first day of the work week%","Ooso gallassatun koyroy 
Saynno.",Monday is the first day of the work week.
Uddufuniya,noun,May%,"Uddufuniya aginay Hosppuniyappenne Tammiyappe 
gidduwan de'ees.","May is in between April and June.
Yesus Kristtoosa%1. noun%"
Uddufuniya,noun,Jesus Christ%,"Geeshsha Maxaafay Yesus Kiristoosi 
Xoossaa na'a yaagees.",The Holy Bible says Jesus Christ is the son of God.
aabooliya,noun,ceremonial song%,Aaboolee menttaa woridi yexxiyo yettaa.,'Abole' is a song sung after a cape buffalo is killed.
aadhdhida,adverb,last (expression of time)%,"Aadhdhida omarssi I giyaa 
biis.","Last evening, he went to the market."
deriya,noun,"the masses, the broader masses%","Kawotettay aaho naagidi 
wottanawu bessees.","The government should look after the interest of the 
masses."
aahotettaa,noun,width%,Ogiya aahotettay 10 meetire.,"The width of the 
room is 10 meters.
aakima xaliya%1. noun%"
aahotettaa,noun,tablet; pill%,"Dottoriya azazoy galla galla naa""u ayfe 
aakime xaliya ekkanaadan yootees","The doctor's prescription says that she 
should take two tables daily."
aallanttuwa,noun,flying; flight%,Ankkoti gawuxaa bolli aallantuwa,
aani,interjection,an order to stop a cow%,"Shunchchiya miizzaa aani 
geettees.",We say 'ani!' to stop  rushing cows
aannuwa,noun,limestone%,Aanno shuchchay xiilliya qolettees.,"Limestone 
breaks easily into powder."
aappunttee,adjective,"what grade, which number%","Nena'ay ha laytti kifiliyan
aappunttee?",Which grade is your son in this year?
aapuntta,adjective,"what grade, which number%","Neeni aappuntta kifiliyan 
day?",What grade are you in?
aara,adjective,yellow(of plant leaves)%,"Aara tukkiya haytta tukkiya 
essanaw go""ees.","The yellow leaves of the coffe plant are used to make a drink
aaro kehatettaa%1. noun%"
aara,adjective,grace%,Xoossa aaro kehatettay intteyyoo daro!,"Let 
the grace of God be abundent upon you!
aatti odiis%1. noun%"
aara,adjective,exaggerate%,Nuuni haysiya naatussi yootiiddi aatti odida.,"We exaggerated when we were telling the story to the children
aatti oduwa%1. noun%"
aara,adjective,exaggeration%,"Na'aassi de'iya aatti odo meezee A laggeti 
A oduwa tumatettaa siranaadan oottiis.","The boy's constant exaggeration caused 
his friends to doubt the validity of his stories."
aattidi,adverb,more; best%,I ba keettaayyiyo ooppekka aattidi siiqees.,He loves his wife more than anybody else.
aattiya,adjective,"leak, sieve-like, dripping drippy, permeable%",aattiya,
aattiyosaa,noun,"leak, crack, hole that permits something such as liquid to 
seep out%",Otuwassi aattiyosay awugaa baggaara diyakko erettenna.,"It is 
unknown where the pot's leakage is coming from.
aawaa aawaa aawaa%1. noun%"
aattiyosaa,noun,great grandfather (paternal)%,"Ta aawaa aawaa aaway 
olanchcha. Xeetu layttappe kase morkkiyara olettiis.","My great grandfather was 
a warrior.He fought against the enemy a hundred years ago.
aawaa aayyiyo%1. transitive verb%"
aattiyosaa,noun,grandmother (paternal)%,"Ta aawaa aayeessi 
gita eray de'ees.","My grandmother has a great knowledge.
aawaa ishaa%1. noun%"
aattiyosaa,noun,uncle (paternal) %,"Aaway hayqqin, I ba aawaa ishaa 
achchan dicciis.","He was brought up by his uncle when his father passed away.
aawaa machchiyo%1. noun%"
aattiyosaa,noun,stepmother %,Aawaa machchiya ayyo biittaa goggawusu.,"His stepmother treated him badly.
aawaa michchiyo%1. noun%"
aattiyosaa,noun,aunt (paternal)%,"Taani ta aawaa michchee matan 
tamaaraas.","I spent my school years with my aunt.
aawaa na'aa%1. noun%"
aattiyosaa,noun,"half brother, stepbrother (from the same father or mother)
%",Taanne ta aawaa na'aynne darotoo issoy issuwaara mayettokko.,"My stepbrother
and I usually do not agree.
aawaa na'iyo%1. noun%"
aattiyosaa,noun,"half sister, stepsister (from the same father or mother)
%",Na'ay ba aawaa na'iyo ba michcheeppe aatti siiqees.,"The boy loves his 
stepsister more than his own sister."
aa,noun,"orphan, a child whose parents are dead%","I aaya
aawu baynna na'a gidiyo gishshawu ba dabbuwara de'ees.","He lives with his 
relative because he is an orphan.
aaye ashuwa%1. noun%"
aa,noun,"portion of meat, the biggest pieces of meat(after a cow 
has been slaughtered and the meat divided among a group of people)%","Kanay aaya 
ashuwa ekkidi woxxin axaaree yiillotiis.","The butcher became angry when the dog
snatched the biggest piece of meat.
aayee ishaa na'iyo%1. noun%"
aa,noun,"cousin, uncle's daughter(maternal)%","A ta aayee 
ishaa na'iyo","She is my cousin.
aayee qaalaa%1. noun%"
aa,noun,"mother tongue, native language%","Wolayttattoy nuussi 
aayee qaala.","Wolaita is our mother tongue.
aayyee (aayyeeroo)%1. interjection%"
aa,noun,"woe, alas (an expression of distress) %
(syn) [aabboo'ana, aayyee'ana, biittawu ashkke, hayttay kehaa siyo, hayttawu 
kare]%",,
aa,noun,"terrible, that is terrible (when someone feels sorry for himself)",,
aayyee,interjection,"woe, alas(an expression of distress)%(syn)[aabboo'aa, 
aayyee'ana, bittawu ashkka, hayttay kehaa, hayttawu kare]%",,
aayyee,interjection,"terrible, that is 
terrible(when someone feels sorry for himself)
aayyiyo aawaa%1. noun%",,
aayyee,interjection,parents%,Aayyiya aaway siiqiyo naati lo''i diccoosona.,"Children thrive when they have two loving parents.
abbaa doonaa%1. noun%"
aayyee,interjection,shore%,"Be'a, abbaa doonan geleshshoti buraaqoosona.","Look, monkeys are playing on the shore of the lake."
abbaa,noun,lake%,Xaanay Toophiyan woggaatiya abbaa.,"Lake Tana is the 
biggest lake in Ethiopia.
abbe ixeta eenuwa%1. noun%"
abbaa,noun,maternity leave%,"A naa""u agina abbe ixeta gida 
simmada eenuwa ekkaasu.","She had two months' maternity leave after her baby's 
birth.
achcha sahuwa%1. noun%"
abbaa,noun,toothache%,"Tana achcha sahoy toolliis. Taani achchaa 
aakimiyakko baanawu koshees.","I have a bad toothache. I need to go to a 
dentist.
achchaa ferzzaa%1. noun%"
abbaa,noun,protruding tooth%,"Achchaa aakimee perzza achchaa 
shoddiis.","The dentist pulled the protruding tooth.
achchaa qitaa diggiis%1. transitive verb%"
abbaa,noun,"eat; feed; consume; graze; nibble 
Hagee laaxaa miyo wode.%",Awude achchaa qitaa digganee?,"It is time for lunch. 
When will we eat?"
adabaa,noun,abundance%,,
adabaa,noun,"durability%(syn)[qaddoosaa, hidootaa]",,
adaraashaa,noun,address%,"Hayyanaa nuussi ay adaraasha laamee de'ikkonne 
oda.",Please inform us of any changes to your address.
adday,adverb,really%○ Hagee ne adday?%○ Is it really you?,,
addettuwa,noun,scare; intimidation; threat%,"Bayra ishay ba kaalota 
addettuwa doommiis.","The elder brother started threatening his younger 
siblings."
addiniitaa,adjective,own%,bari aawaa addiniitaa,his/her own father
addiniitaa,adverb,"really, a word used to identify the reality of something
%",Hagee ne addiniitay?,"Is it really you?
adil''e%1. adjective%"
addiniitaa,adverb,yellow%,Adil''e meran goday zine tiyettiis.,"The yellow
wall was painted yesterday."
aduwa,noun,"salty soil (put on grass for cattle to eat), (in earlier times 
is was used for washing clothes)%","Aduwa laalikko, mehee maataa sohuwaara mees.","If salty soil is spread on grass, cattel will eat it quickly."
afarssaataa,noun,"investigation, criminal identification (for a community so
as to identify or detect a wrongdoer)%","Miizziya wuuqetta simmin, 
afarssaatayoosettiis.","After the cow was stolen, there was an investigation."
afuutiya,noun,"common cold, cold, flu %",Qeeri na'aa afuutee oyqqiis.,"The 
small child caught a cold."
agacida,adjective,aborted%,"Keeniya xinaatiyawu baana giishin agacida 
halchchoy tamaareta yiilloyiis.","The aborted plan to go to Kenya to study 
angered the students."
agamasaa,noun,"food, food given to a cow when it is milked%","Agamasaa 
immikko, miizziya loytta maaxawusu.","If food is given to a cow when it is being
milked, it gives more milk."
agettaa,noun,brewing (of beer)%,Biiraa agettay daro aginata ekkiis.,"The 
brewing of the beer lasted several months."
genttuwa,noun,"eclipse, lunar eclipse, when another astronomical 
object comes  between the moon and the observer%",Aginaa genttoy qammi beettees.,"A lunar eclipse appears at night.
aginaa poo'uwa%1. noun%"
genttuwa,noun,moonlight %,Aginaa poo'oy qammaa poo'issiis.,"The 
moonlight lit up the night."
agiyosaa,noun,brewery%,Agiyosay biiraynne eessay agettiyosaa.,"A brewery 
is the place where beer and mead are brewed."
agunttattiya,adjective,thorny%,"Garatiya shouwan agunttattiya mittati 
doosona.",We often find thorny plants in lowland areas.
agurettaa,noun,"violent driving, violent herding, violent shepherding%",Wudiyawaa agurettay mehiya daganttiis.,"The shepherd's violent driving of his 
cows scared the animals."
aguwa,noun,cessation; deserting; abandoning; stopping; leaving%,"Tamaare 
Keettaa aguwappe simmidi, na""ay bari yeleta biittaa biis.","After abandoning 
school, the boy left for his native place."
ajaawa,adjective,"energetic, powerful great physical strength%","Godaree 
maahiyadan ajaawa gidenna.",The hyena is no match for the powerful tiger.
ajjuutaa,noun,"revelation, vision, something that is considered to be a sign
or a message from %",God Xoossay taayyoo ajjuutaa immiis.,"God gave me a 
vision."
akaafaa,noun,spade; shovel%,Biittaa akaafan zaara.,"Turn the soil over 
with a spade."
akaliina,adjective,weary; feeble; frail; fatigued; weak%,"Akaliina bitanee 
saare gidiyagaa oootti simmidi shemooiis.","After working for hours, the weary 
man rested."
akiliiliya,noun,"wreath, crown, an ornamental band worn on the head%","Kawiya
akiliiliya huuphiyan goxxaasu.","The queen wore the crown.
akiroobaatiya oottiyagaa%1. noun%"
akiliiliya,noun,acrobat%,"Akiroobaatiya oottiyagee xeelliya 
asaa bari qaaxuwan maalaalissiis.","The acrobat wowed the spectators with his 
moves."
akkamuwa,noun,treatment %,"Hargganchchaa akkamoy dottoriyassi diya bayra 
aawatetta.",Treating patients is the doctor's primary responsibility.
alaafetettaa,noun,responsibility; authority %,"Bombbiya xuussidoogawu 
alaafetettaa ekkidabi baawa.","Nobody has claimed responsibility for the 
bombing."
alaafiya,noun,"one responsible, manager, leader %","Bankkiya alaafiya paramay
xayikko, miishshaa ekkanawu danddayakka.","You cannot receive money without the 
signature of the bank manager."
albbeemiya,noun,"album, a book or binder in which items like postage stamps 
and photographs are kept%","Asay darotoo tembberiyanne pootuwa albbeemiya giddon 
wottees.","People usually put stamps and photographs in albums.
alggaa hiixxiyaro%1. noun%"
albbeemiya,noun,chambermaid %,"A uteele keettan alggaa hiixxiyo 
oosuwa oottawusu.",She works as a chambermaid in a hotel.
alggaa,noun,bed%,Hegee alggay injje.,This bed is comfortable.
aljjaanuwa,noun,"idol worship, a kind of idol worship.%","Aljjaanuwa eeqiya 
asatu meezetuppe issoy xoomidi pee'i simmido gallassiaway wulli simmin godaree 
waassanaappe kasiyan qumaa miyogaa.","One of the traditions of aljano worshipers
is that they can only eat after sunset but before the hyenas begin to yelp on 
the days which they have fasted.
allaanaa %1. noun%"
aljjaanuwa,noun,district%,"Allaanay ganddaa asay issippe shiiqidi de'iyo 
aaho heeraa.","A district is an area of a country, especially one with a 
particular division."
allagaa,noun,adversary; foe; enemy%,,
allagaa,noun,colonizer%,,
allagaa,noun,"foreigner; outsider; 
stranger; alien; wild",,
almaaziya,noun,diamond%,Almaazee al''o alleeqo.,"Diamonds are precious 
jewels.
am""etettaa%1. noun%"
almaaziya,noun,widowhood%,Am''etettay meto.,Widowhood is difficult.
amalanchcha,adjective,"moody; furious; bad-tempered; irritable; rebellious; 
quarrelsome; opposing; opponent; violent; disobedient%","Amalanchcha bitaniya 
ubba guuttabaykka yiilloyees.","Even little things make the bad-tempered man 
angry."
amara,adjective,"some, a few%","Daro tamaareti yiyogaadan naagettidosona, 
shin amarati gakkidosona.","Many students were supposed to come, but only some 
students arrived."
amassaliya,noun,complaint%,"Ta uteeliya kifilee keehi moorettido gishshawu 
amassaliya uteeliya ayssiya gadaawassi magannaas.","My hotel room was very 
dirty, so I stated my complaint to the manager."
ambbaanuwa,noun,robber; gangster; raider%,"Xaaceti maccaasee borssaa 
bonqqida ambbaanuwa oyqqidosona.","The police arrested the robber who snatched 
the woman's purse."
ambboomaa,noun,"alliance, the taking of a side%","Giyan waretay kiyin, I ba 
shoorotussi ambboomaa eqqiis.","He started siding with his neighbor when the 
fight broke out in the market."
ambbulanssiya,noun,ambulance%,"Kaamiya daafaappe simmin, sohuwara 
ambbulanssee yiis.","Soon after the car accident, an ambulance came."
ammanettennaagaa,noun,rogue; scoundrel; rascal%,"A ammannettennaaro. Ne O 
waatada ammanuutee?",She is a rascal. How could you trust her?
ammaniya,adjective,"believing (used to describe those who believe in God, 
specifically the Judeo-Christian God)%",Ammaniya uray Xoossaa duussaa sirenna.,A believing individual does not doubt the existence of God.
ammanttuwa,noun,"convincing, act of convincing%","Odin ammanettenna uraa 
ammanttiyogee deexo.","Convincing a skeptical person is difficult.
amn""i%1. interjection%"
ammanttuwa,noun,"amen, so be it, word used at the end of prayer, 
blessings, etc.%",Hagaa nuuni Godaa Yesus Kiristtoosa sunttan woossoos. Amin''i.,We pray this in the name of Jesus Christ. Amen.
amppalaa,noun,"harness, neck strap (of a mule or horse)%","Amppalay kooraara 
gaytti uttiis.",The harness was attached to the saddle.
amuqa,adjective,sloppy; slovenly; untidy%,"Hagee ayba amuqa asee! Ba 
maayuwa addaa maara geeshshenna.","What a sloppy person! He doesn't even wash 
his clothes."
anahaa,noun,callus%,"I deexxiya daro oosuwa ootti simmin, A kushee anahaa 
kessiis.","After a lot of hard work, calluses formed on his hands."
anccettaa,noun,chopping%,Sunkkuruutuwa anccettay O afuxissiis.,"Chopping 
the onions made her cry."
anccettida,adjective,chopped%,"Anccettida sunkkuruutoy ka''ida 
ataakilttiyan gujettiis.",The chopped onion was added to the salad.
anggaasuwa,noun,"sternum, chest of animal%",booraa anggaasuwa,"sternum of 
the ox
anhaa afalaa%1. noun%"
anggaasuwa,noun,shroud%,"Anhaa mooganaappe kase xaaxiyogee anhaa 
afalaana.","A dead person's body is wrapped in a shroud before it is buried.
anhaa pilggettaa%1. noun%"
anggaasuwa,noun,autopsy; necropsy%,"Anhaa pilggettay waani 
hayqqidaakkonne eranawu maaddees.",An autopsy reveals how the person died.
anhaa,noun,corpse (a person's dead body)%,"Anhay sohuwara moogettana 
xayikko peenotees.",The corpse will stink unless it isburied soon.
anjjettida,adjective,blessed%,I daro ogiyan anjjettida asa.,"He was a 
blessed man in many ways."
anjjettidaagaa,noun,graduate%,"A kolloojjiyappe anjjettidaaro gidiyo 
gishshawu, xoqqa damoozaa demmawusu.","Because she is a college graduate, she 
gets a high salary."
anjjettiyogaa,noun,graduation%,"Solomoonantta soo asay ubbay Solomooni 
naa''antto xekka timirtte keettaappe anjjettiyogawu yiidosona.","All ofSolomon's
family came for his high school graduation."
anjjullaa,noun,subsidy; contribution%,"Naati eettiyo mittaa qoriiddi, 
mittaa qoruwa danddayenna naatussi anjjullaa immoosona.","When children collect 
firewood, they usually give some of it to a less able child in the form of a 
subsidy."
ankkakka,adjective,untidy; messy%,"Ankkakka so oosoy na'aagee asttamaariyan
ekettibeenna.",The boy's messy homework was not accepted by his teacher.
ankkuwa,noun,vulture (a bird of prey)%,Ankkoy bawutaa mees.,"The vulture 
is eating the carcass."
annaacettiyagaa,noun,competitor; rival%,"Ooratta qaxarettidaagee laytta 
kumettaa tanaara annaacettiyagaa.","The new employee remained my rival 
throughout the year."
biittaa,noun,continent%,Salo gufantton laappun ano biittati de'oosona.,There are seven continents in the world.
anqqara,adjective,plump; fat; thick; chubby; obese; flabby%,"I machchiya 
yelin anqqara dorssaa shukkiis.","After his wife gave birth to the baby, he 
slaughtered a fat sheep."
anttashiya,noun,fur (usually thick)%,"Issi issi deeshshatussi daro 
anttashee dees; haraatussi qassi guutta anttashee dees.","Some goats have thick 
fur; other goats have very little fur."
anzzaa,noun,"arrears, late in fulfilling a duty, promise or obligation%",Nuuni qanxxanaayyoo heezzu agina keraa anzzay attiis.,"We are three months late
in paying the rent."
araadaa,noun,fraud%,I harabaa aybanne gidenna; worddone araadanne.,"He is
nothing but a liar and a fraud."
araadaa,noun,town %,I araadan de'ees.,He lives in the town.
aracettaa,noun,sprinkle; spray%,"Zino guutta iraa aracettay/puusee de'ees 
shin hachchi bukkiis.","There was a light sprinkle yesterday, but today it 
rained."
aradda,adjective,fertile; loamy%,Aradda biittay kattaa dichchaassi lo''o.,Fertile land is good for crop growth.
araddatettaa,noun,fertility%,"Zaari zaaridi issi sohuwa goyikko, biittay 
araddatettaa xayees.","If you cultivate the same land repeatedly, it will lose 
its fertility."
arajjaataa,noun,"a stay with wives, (of a husband) a stay at every wife's 
house for a couple of days one by one%",I ba maccaasatukko arajjaataa hemettees.,He had a stay with his wives turn by turn.
aramida,adjective,"few, a few, some%","Aramida tamaareti tamaariyappe 
attidosona.",A few of the students were absent.
arkko,adjective,cloudy %,"Hachchi sa'ay arkko gallassa. Taayyoo away 
beettenna.",Today is a cloudy day. I can't see the sun.
arshsho,noun,east%,Away arshshoora mokkees.,"The sun rises in the east.
asa na'a xanttiyaro%1. noun%"
arshsho,noun,wet nurse%,"Asa na'a xanttiyara qeeri naata ba 
xanttaa xanttawusunne naagawusu.","A wet nurse breastfeeds and takes care of 
another woman’s baby.
asaa coratettaa%1. noun%"
arshsho,noun,population%,"Nu biittaa asaa qooday 80 miiliyone 
heera.","The population of our country is about 80 million.
asaa maataa%1. noun%"
arshsho,noun,human rights%,Asaa maataa giyogee asaa lagg.,"Human 
rights is about equality.
asaa qoodaa%1. noun%"
arshsho,noun,"census, sample size%","Guutta heeran diya asaa qoodan 
keten''idi beero halaafeti ubbasan diya asaa qoodaa gammatidosona.","Based on 
the census, the officials estimated the population of the whole area.
asappe siyidobaa%1. noun%"
arshsho,noun,"hearsay, secondhand information, word on the street%","Ta shooroy ikkonoomee kunddiiddi dees giis shin, ooni erii hegee asappe 
siyidobaa xalaala gidanaw danddayees.","My neighbor said that the economy is 
doing bad, but maybe it is just hearsay."
asaraa,noun,"scarf, small cotton scarf%","Puuttuwappe oosettida asaray irxxa 
maalladotun A ho''anaw danddayees shin meegoy diyo qammatun ayyoo gidiya ho''uwa
immanaw danddayenna.","The cotton scarf was enough to keep him warm in the cool 
mornings, but it was not enough to keep him warm on cold nights.
asatetti baynna%1. adjective%"
asaraa,noun,inhumane%,"Shemppuwa woriyogee asatetti baynna 
ooso.",Murder is an inhumane act.
asho,adjective,fleshy%,"Abukaaduwayyoo asho baggaa miidi burddiya 
aggiigeettees.",We eat the fleshy part of the avocado and leave the seed.
ashuuraa,noun,"activity to pass time, something done to pass time%","Issitoo 
issitoo saddiiqaa ashuuraassi kaa'eettees.","Sometimes we play 'saddiiqaa' to 
pass time.
ashuwa bayzziyosaa%1. noun%"
ashuuraa,noun,butcher store%,"Ta ashuwa bayzziyosaappe kilo 
ashuwa shammanawu baas.","I went to the butcher store to buy a kilo of meat.
ashuwa miya%1. adjective%"
ashuuraa,noun,carnivorous%,Gaammoy asho miya do'a.,"A lion is a 
carnivorous animal.
ashuwa pariyagaa%1. noun%"
ashuuraa,noun,butcher%,"Shoorotu giddon ashuwa pariyagee eranchcha 
asa gidiyo gishshawu baalaayyoo booraa shukkanawu doorettiis.","The skilled man 
was chosen among the neighbors to be the butcher and to kill the ox for their 
celebration.
ashuwa shukkiyosaa%1. noun%"
ashuuraa,noun,slaughterhouse%,"Asho shukkiyosan muletoo xingglee 
aallanttees.","Hawks usually fly around the slaughterhouse.
ashuwanne kattaa miya%1. adjective%"
ashuuraa,noun,omnivorous%,"Worakanay ashuwanne kattaa 
miya do'a.","A jackal is an omnivorous animal.
asi medhdho%1. adjective%"
ashuuraa,noun,man-made%,Asi medhdho abbay waaruwawu go''iis.,"The
man-made lake was used for irrigation."
ataakilttiya,noun,"vegetable, edible leafy or fleshy plant to accompany the 
main meal%",Ataakilttee daarinchchan tohettees.,"Vegetables are grown in the 
backyard."
atalaa,noun,sediment%,parssuwa atalaa,sediment in local beer
ataraa,noun,peas%,Taaway ba goshshan ataraa zerees.,"My father grows peas
on his farm."
atotettaa,noun,salvation%,"Kristtiyane ammanuwan atotettay, Yesus 
Kristtoosa suuttaana.","According to the Christian faith, salvation is only 
received by the blood of Jesus Christ."
attaagaa,noun,remainder%,"Ichchashaa naa''aw shaakkiyode naa''aa naa''a 
gakkikko, attiyagee issuwa.","When five is divided by two, the answer is two 
with one as the remainder."
attamuwa,noun,printing; publishing%,"Attamoy issibaa giigissidinne essidi 
asaayyoo gishanaayyoo oottiyo ooso.","Publishing is preparing and producing 
material in print for distribution to the public."
attennabaa,noun,obligatory; inevitable%,"Qaraxaa qanxxiyogee oossinne 
attennabaa.","Paying taxes is an obligation for everyone.
attida miishshaa%1. noun%"
attennabaa,noun,balance; change%,"100ppe 70 biraa wurssi simmin, 
ayyoo attida miishshay 30 bira.","After spending 70 of the 100 birr, his change 
was 30 birr."
attidaagaa,noun,remainder%,"Hara baggata go'ettiichchin, attidabaa 
attidaagaa geettees.","The remainder is something that is left after other parts
have been used up.
attuma asaa%1. noun%"
